epoch,binary_accuracy,dice_coefficient,iou_metric,loss,lr,precision,recall,val_binary_accuracy,val_dice_coefficient,val_iou_metric,val_loss,val_precision,val_recall
0,0.9330340027809143,0.042466145008802414,0.02589578367769718,0.22654350101947784,0.001,0.07157933712005615,0.040507446974515915,0.9580338001251221,0.03125,0.03125,0.1445591002702713,0.0,0.0
1,0.954612135887146,0.05723312497138977,0.03644471615552902,0.1500624418258667,0.001,0.45777279138565063,0.026893137022852898,0.9621760845184326,0.3189903795719147,0.2081708163022995,0.12930727005004883,0.6694650650024414,0.1948240101337433
2,0.9554443359375,0.1399632841348648,0.08342031389474869,0.13179951906204224,0.001,0.543067991733551,0.08287575095891953,0.961273193359375,0.1959547996520996,0.1261022686958313,0.11263438314199448,0.7968073487281799,0.10351410508155823
3,0.956530749797821,0.20025557279586792,0.12382020056247711,0.1261419653892517,0.001,0.575747013092041,0.138148233294487,0.9612464904785156,0.2584247291088104,0.17417967319488525,0.1065668836236,0.6672464609146118,0.15256385505199432
4,0.9576964378356934,0.25114813446998596,0.1572365164756775,0.1213712990283966,0.001,0.6116540431976318,0.17512811720371246,0.9644005298614502,0.46906596422195435,0.33526331186294556,0.10499125719070435,0.6085047721862793,0.4252151846885681
5,0.9590479731559753,0.29695239663124084,0.18970605731010437,0.11732760071754456,0.001,0.6335436701774597,0.21810027956962585,0.9660794734954834,0.3559578061103821,0.248184472322464,0.09388700872659683,0.7823328375816345,0.2655322253704071
6,0.9598122835159302,0.3239843249320984,0.21001747250556946,0.11277800798416138,0.001,0.6328415274620056,0.26277855038642883,0.9635636806488037,0.29563167691230774,0.19881030917167664,0.10631325840950012,0.7238229513168335,0.21295417845249176
7,0.9614543318748474,0.36948463320732117,0.24489155411720276,0.10916049033403397,0.001,0.6607102751731873,0.2994644343852997,0.9618902206420898,0.23199039697647095,0.16270484030246735,0.11565208435058594,0.7888472080230713,0.12538279592990875
8,0.9642311930656433,0.4056608974933624,0.27615293860435486,0.0990915298461914,0.001,0.6931194067001343,0.36970242857933044,0.9705827236175537,0.5060283541679382,0.37078994512557983,0.07961887866258621,0.7777895331382751,0.4185449182987213
9,0.9647110104560852,0.42336252331733704,0.2914089560508728,0.09715578705072403,0.001,0.6953357458114624,0.3927469849586487,0.9676778316497803,0.3868674337863922,0.2671233117580414,0.0824873298406601,0.8350235223770142,0.2863100469112396
10,0.9670161604881287,0.47498491406440735,0.33195236325263977,0.09054946154356003,0.001,0.7170226573944092,0.4440625011920929,0.9696645736694336,0.43443793058395386,0.311085969209671,0.08399879187345505,0.9066048860549927,0.30891168117523193
11,0.9681749939918518,0.5058977007865906,0.35906171798706055,0.08609656989574432,0.001,0.7228473424911499,0.47936689853668213,0.9747524261474609,0.6217782497406006,0.4762072265148163,0.06861035525798798,0.7328692078590393,0.6268060803413391
12,0.9692540764808655,0.5184735655784607,0.37447547912597656,0.08303013443946838,0.001,0.7323043346405029,0.5038305521011353,0.9689078330993652,0.4155799150466919,0.2922825813293457,0.08142063766717911,0.8492424488067627,0.3149683177471161
13,0.9710066318511963,0.5453973412513733,0.3984997570514679,0.07839640974998474,0.001,0.7479596734046936,0.5385835766792297,0.9727258682250977,0.5184628963470459,0.3835947513580322,0.07559628039598465,0.8357768058776855,0.43564102053642273
14,0.9718307852745056,0.5513641834259033,0.4073042571544647,0.07527914643287659,0.001,0.7559343576431274,0.5558311343193054,0.9756865501403809,0.6032854318618774,0.46597403287887573,0.06487754732370377,0.8194261193275452,0.5394790172576904
15,0.9714493751525879,0.5743815302848816,0.4240322411060333,0.07694082707166672,0.001,0.7529205083847046,0.5481911897659302,0.974114179611206,0.559328556060791,0.41989684104919434,0.0716814249753952,0.8565793037414551,0.46017444133758545
16,0.9727185368537903,0.5865881443023682,0.4409288167953491,0.07210545986890793,0.001,0.7640831470489502,0.5744674205780029,0.9756309986114502,0.6457456350326538,0.5003804564476013,0.0726543441414833,0.7459307909011841,0.6358456015586853
17,0.9733835458755493,0.5782702565193176,0.4335385262966156,0.07140358537435532,0.001,0.7714425921440125,0.5865825414657593,0.9711365699768066,0.44108858704566956,0.3139960765838623,0.07302992790937424,0.9349027276039124,0.33553025126457214
18,0.9735749363899231,0.5752109885215759,0.4329383671283722,0.07152765989303589,0.001,0.7719013094902039,0.5926323533058167,0.9744086265563965,0.6716130375862122,0.5308775901794434,0.06681066006422043,0.6674257516860962,0.7776313424110413
19,0.9715699553489685,0.5499292612075806,0.41039973497390747,0.07506132125854492,0.001,0.7455880641937256,0.566687822341919,0.9775869846343994,0.6348403692245483,0.4936237335205078,0.06063832342624664,0.8475905656814575,0.5680236220359802
20,0.9753420948982239,0.6062010526657104,0.463630348443985,0.06558767706155777,0.001,0.7863205671310425,0.6269227862358093,0.9787261486053467,0.6490665078163147,0.5197397470474243,0.05888032540678978,0.8621460795402527,0.5868697166442871
21,0.9739499092102051,0.5806909799575806,0.43924185633659363,0.06929096579551697,0.001,0.773611307144165,0.5947426557540894,0.977048397064209,0.6506817936897278,0.5075957775115967,0.0659295842051506,0.7983685731887817,0.6061304807662964
22,0.9750354290008545,0.6099212765693665,0.46741631627082825,0.06629800796508789,0.001,0.7844705581665039,0.6190420389175415,0.9745736122131348,0.5343087911605835,0.4072226583957672,0.06655780225992203,0.8653742671012878,0.46667423844337463
23,0.9760872721672058,0.638362467288971,0.49287790060043335,0.06358393281698227,0.001,0.7884455919265747,0.6433281898498535,0.9769511222839355,0.6090359091758728,0.47165149450302124,0.05883419141173363,0.9095855951309204,0.5004801154136658
24,0.9767776727676392,0.634384036064148,0.4936247766017914,0.06145850196480751,0.001,0.7984917759895325,0.6500805020332336,0.9790282249450684,0.6696344017982483,0.5375134348869324,0.054100826382637024,0.8185001611709595,0.642760157585144
25,0.9768444895744324,0.6469736695289612,0.5033074021339417,0.06149395555257797,0.001,0.7935828566551208,0.656795859336853,0.9801619052886963,0.6769907474517822,0.5464837551116943,0.0525161512196064,0.8428683280944824,0.6480611562728882
26,0.9757892489433289,0.6323857307434082,0.48664209246635437,0.06367429345846176,0.001,0.7877458333969116,0.6345763802528381,0.9797070026397705,0.7180606722831726,0.5870921611785889,0.05601271986961365,0.7465896606445312,0.781750500202179
27,0.9771955013275146,0.6484920382499695,0.5045867562294006,0.05959491804242134,0.001,0.7944192290306091,0.669391930103302,0.9707157611846924,0.4555019438266754,0.33708909153938293,0.09863628447055817,0.9380395412445068,0.3235078454017639
28,0.9759997129440308,0.6310099363327026,0.48593783378601074,0.06365451216697693,0.001,0.7925209403038025,0.6371749043464661,0.9807260036468506,0.6892544627189636,0.5568993091583252,0.05194392427802086,0.8845880031585693,0.6218175888061523
29,0.977618932723999,0.6525766849517822,0.5098633766174316,0.05898991972208023,0.001,0.8024850487709045,0.6695705652236938,0.9825904369354248,0.7270839214324951,0.5998542308807373,0.04672767221927643,0.8555193543434143,0.7040140628814697
30,0.9782928824424744,0.655551016330719,0.5163270831108093,0.05783059448003769,0.001,0.810627818107605,0.6791075468063354,0.9762246608734131,0.6891298294067383,0.5525686144828796,0.0645366981625557,0.6916741132736206,0.7820175290107727
31,0.9778391718864441,0.654794454574585,0.5125842094421387,0.058445025235414505,0.001,0.8052252531051636,0.6694926023483276,0.980107307434082,0.6582074165344238,0.529371976852417,0.051605962216854095,0.8947202563285828,0.5960853099822998
32,0.9773426651954651,0.6450577974319458,0.5045166611671448,0.05892523005604744,0.001,0.7993248701095581,0.6672465801239014,0.9813477993011475,0.6714404225349426,0.5408241748809814,0.048914145678281784,0.8556172847747803,0.6682764887809753
33,0.9777819514274597,0.6555051803588867,0.5111364126205444,0.05857987701892853,0.001,0.8083726763725281,0.6652733683586121,0.9802005290985107,0.6612382531166077,0.5303977131843567,0.05158837139606476,0.9019231200218201,0.5926081538200378
34,0.9773474335670471,0.6373541355133057,0.4964168667793274,0.05919932201504707,0.001,0.8001523017883301,0.6644949316978455,0.9643816947937012,0.632309079170227,0.48114973306655884,0.08480813354253769,0.5504410862922668,0.8249595165252686
35,0.9787936210632324,0.6807348132133484,0.5382153391838074,0.0555478036403656,0.0005,0.8134523034095764,0.6887190341949463,0.980381965637207,0.6700621843338013,0.5385241508483887,0.05103619396686554,0.9074223637580872,0.5929888486862183
36,0.9801992177963257,0.682289719581604,0.5448381304740906,0.051637645810842514,0.0005,0.8258780837059021,0.7112223505973816,0.9802036285400391,0.6567662358283997,0.5258646607398987,0.051253098994493484,0.9104297161102295,0.5858810544013977
37,0.9809029698371887,0.6922321319580078,0.5538948178291321,0.04961206391453743,0.0005,0.8300744891166687,0.7265934348106384,0.9823572635650635,0.7015342712402344,0.5760273337364197,0.04678799957036972,0.9019845724105835,0.6502201557159424
38,0.9810760617256165,0.7057620882987976,0.568098247051239,0.04938492551445961,0.0005,0.8337964415550232,0.7246831059455872,0.9824364185333252,0.7129430770874023,0.5876197814941406,0.04658307507634163,0.8972686529159546,0.6566290855407715
39,0.9814242124557495,0.7028235197067261,0.5688454508781433,0.048091985285282135,0.0005,0.8307803869247437,0.7391225695610046,0.9816222190856934,0.693711519241333,0.5673370957374573,0.04816306382417679,0.8904351592063904,0.6409079432487488
40,0.9814317226409912,0.6977934837341309,0.5652697682380676,0.04824246093630791,0.0005,0.8331030607223511,0.7372648119926453,0.9809784889221191,0.6766810417175293,0.5477926135063171,0.04989055544137955,0.9329493641853333,0.5890401005744934
41,0.9806073904037476,0.7008945941925049,0.5647353529930115,0.05046591907739639,0.0005,0.8277982473373413,0.7203540802001953,0.9835116863250732,0.7416754961013794,0.62137770652771,0.043674297630786896,0.845562756061554,0.7427288889884949
42,0.9811094999313354,0.7027630805969238,0.5675482153892517,0.04907536879181862,0.0005,0.8315241932868958,0.731511652469635,0.9798691272735596,0.6462002396583557,0.5186245441436768,0.052912041544914246,0.9154945015907288,0.573176920413971
43,0.9820771813392639,0.7051424980163574,0.5726761817932129,0.04680241271853447,0.0005,0.8396216630935669,0.7437407970428467,0.9836380481719971,0.7275808453559875,0.6088711023330688,0.04364702105522156,0.886046290397644,0.7001278400421143
44,0.9811145663261414,0.7041546702384949,0.5696261525154114,0.04907238483428955,0.0005,0.8314512372016907,0.7296467423439026,0.983262300491333,0.7417263388633728,0.6204825639724731,0.045405492186546326,0.8167876601219177,0.7749609351158142
45,0.9821040630340576,0.7209843993186951,0.5880752801895142,0.045895740389823914,0.0005,0.8385969400405884,0.7483626008033752,0.9839065074920654,0.7326356172561646,0.6128362417221069,0.043628230690956116,0.8917734026908875,0.7016334533691406
46,0.9815766215324402,0.7229024171829224,0.5891140103340149,0.047477953135967255,0.0005,0.8306195735931396,0.7444719076156616,0.9828813076019287,0.7181734442710876,0.595535933971405,0.046325650066137314,0.8692244291305542,0.6969006657600403
47,0.982596218585968,0.724735677242279,0.5935707092285156,0.04486282914876938,0.00025,0.8438165783882141,0.7541553974151611,0.9840295314788818,0.7323547601699829,0.6137823462486267,0.04251923784613609,0.8819313049316406,0.715155839920044
48,0.9825491309165955,0.7387304902076721,0.6043520569801331,0.04485192522406578,0.00025,0.8404945135116577,0.7554842829704285,0.9845428466796875,0.7514727115631104,0.6338579058647156,0.0409909151494503,0.8754804134368896,0.7363824844360352
49,0.9830349683761597,0.7348888516426086,0.6048229336738586,0.04367585480213165,0.00025,0.845459520816803,0.7632889151573181,0.9834742546081543,0.7344028949737549,0.6145595908164978,0.04339723289012909,0.8650575876235962,0.718218207359314
